atoms:
	legal(black, noop)
	legal(red, noop)
	legal_place(black, 1, 1, 1)
	legal_place(red, 1, 1, 1)
	legal_place(black, 2, 1, 1)
	legal_place(red, 2, 1, 1)
	legal_place(black, 3, 1, 1)
	legal_place(red, 3, 1, 1)
	legal_place(black, 4, 1, 1)
	legal_place(red, 4, 1, 1)
	legal_place(black, 5, 1, 1)
	legal_place(red, 5, 1, 1)
	legal_place(black, 6, 1, 1)
	legal_place(red, 6, 1, 1)
	legal_place(black, 1, 2, 1)
	legal_place(red, 1, 2, 1)
	legal_place(black, 2, 2, 1)
	legal_place(red, 2, 2, 1)
	legal_place(black, 3, 2, 1)
	legal_place(red, 3, 2, 1)
	legal_place(black, 4, 2, 1)
	legal_place(red, 4, 2, 1)
	legal_place(black, 5, 2, 1)
	legal_place(red, 5, 2, 1)
	legal_place(black, 6, 2, 1)
	legal_place(red, 6, 2, 1)
	legal_place(black, 1, 3, 1)
	legal_place(red, 1, 3, 1)
	legal_place(black, 2, 3, 1)
	legal_place(red, 2, 3, 1)
	legal_place(black, 3, 3, 1)
	legal_place(red, 3, 3, 1)
	legal_place(black, 4, 3, 1)
	legal_place(red, 4, 3, 1)
	legal_place(black, 5, 3, 1)
	legal_place(red, 5, 3, 1)
	legal_place(black, 6, 3, 1)
	legal_place(red, 6, 3, 1)
	legal_place(black, 1, 4, 1)
	legal_place(red, 1, 4, 1)
	legal_place(black, 2, 4, 1)
	legal_place(red, 2, 4, 1)
	legal_place(black, 3, 4, 1)
	legal_place(red, 3, 4, 1)
	legal_place(black, 4, 4, 1)
	legal_place(red, 4, 4, 1)
	legal_place(black, 5, 4, 1)
	legal_place(red, 5, 4, 1)
	legal_place(black, 6, 4, 1)
	legal_place(red, 6, 4, 1)
	legal_place(black, 1, 5, 1)
	legal_place(red, 1, 5, 1)
	legal_place(black, 2, 5, 1)
	legal_place(red, 2, 5, 1)
	legal_place(black, 3, 5, 1)
	legal_place(red, 3, 5, 1)
	legal_place(black, 4, 5, 1)
	legal_place(red, 4, 5, 1)
	legal_place(black, 5, 5, 1)
	legal_place(red, 5, 5, 1)
	legal_place(black, 6, 5, 1)
	legal_place(red, 6, 5, 1)
	legal_place(black, 1, 6, 1)
	legal_place(red, 1, 6, 1)
	legal_place(black, 2, 6, 1)
	legal_place(red, 2, 6, 1)
	legal_place(black, 3, 6, 1)
	legal_place(red, 3, 6, 1)
	legal_place(black, 4, 6, 1)
	legal_place(red, 4, 6, 1)
	legal_place(black, 5, 6, 1)
	legal_place(red, 5, 6, 1)
	legal_place(black, 6, 6, 1)
	legal_place(red, 6, 6, 1)
	legal_place(black, 1, 1, 2)
	legal_place(red, 1, 1, 2)
	legal_place(black, 2, 1, 2)
	legal_place(red, 2, 1, 2)
	legal_place(black, 3, 1, 2)
	legal_place(red, 3, 1, 2)
	legal_place(black, 4, 1, 2)
	legal_place(red, 4, 1, 2)
	legal_place(black, 5, 1, 2)
	legal_place(red, 5, 1, 2)
	legal_place(black, 6, 1, 2)
	legal_place(red, 6, 1, 2)
	legal_place(black, 1, 2, 2)
	legal_place(red, 1, 2, 2)
	legal_place(black, 2, 2, 2)
	legal_place(red, 2, 2, 2)
	legal_place(black, 3, 2, 2)
	legal_place(red, 3, 2, 2)
